english_name,id,major,English,Spanish,German,French,Arabic,Bosnian,Bulgarian,Catalan,Czech,Slovak,Welsh,Danish,Greek,Esperanto,Estonian,Basque,Persian,Finnish,Irish,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian,Japanese,Korean,Kurdish,Latin,Latvian,Lithuanian,Macedonian,Maltese,Mongolian,Nepali,Dutch,Norwegian Bokmål,Punjabi,Polish,"Portuguese, Portugal","Portuguese, Brazil",Quechua,Romanian,Russian,Slovenian,Somali,Albanian,Serbian,Swedish,Tamil,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese,Yiddish,Chinese (Simplified),Zulu,Chinese (Traditional),Malay
Welsh,11,,Welsh,Galés,Walisisch,Gallois,الولزية,,Уелски,,Velšský,Welština,Cymraeg,,Welsh,,,,,kymri,,וולשית,,Velški,vels,,,,Gallese,ウェールズ語,웨일즈어,,,,,,,,,Welsh,Welsh,,walijski,Galês,Galês,,Galeză,Валлийский,Welsh,,,велшки,Walesiska,,เวลช์,Galce,,,,,,威尔士语,,威爾士語,
Danish,12,1,Danish,Danés,Dänisch,Danois,الدانماركية,,Датски,,Dánský,Dánčina,,Dansk,Δανεζικα,,,,,tanska,,דנית,,Danski,dán,,,,Danese,デンマーク語,덴마크어,,,,,,,,,Deens,Danish,,duński,Dinamarquês,Dinamarquês,,Daneză,Датский,Danščina,,,дански,Danska,,เดนมาร์ก,Danca,,,,,,丹麦语,,丹麥語,
Greek,13,,Greek,Griego,Griechisch,Grec moderne,اليونانية,,Гръцки,,Řečtina,Gréčtina,,,Ελληνικα,,,,,kreikka,,יוונית,,Grčki,görög,,,,Greco,ギリシア語,그리스어,,,,,,,,,Grieks,Gresk,,grecki,Grego,Grego,,Greacă,Греческий,Greek,,,грчки,Grekiska,,กรีก,Yunanca,,,,,,希腊语,,希臘語,
Esperanto,14,,Esperanto,Esperanto,Esperanto,Espéranto,الاسبرانتو,,Есперанто,,Esperanto,Esperanto,,,Εσπεραντο,Esperanta,,,,esperanto,,אספרנטו,,Esperanto,eszperantó,,,,Esperanto,エスペラント語,에스페란토어,,,,,,,,,Esperanto,Esperanto,,esperanto,Esperanto,Esperanto,,Esperanto,Эсперанто,Esperanto,,,есперанто,Esperanto,,เอสเปอรันโต,Esperanto,,,,,,世界语,,世界語,
Estonian,15,,Estonian,Estonio,Estnisch,Estonien,الأستونية,,Естонски,,Estonština,Estónčina,,,Εσθονικα,,Eesti,,,eesti,,אסטונית,,Estonski,észt,,,,Estone,エストニア語,에스토니아어,,,,,,,,,Ests,Estonian,,estoński,Estoniano,Estoniano,,Estoniană,Эстонский,Estonščina,,,естонски,Estniska,,เอสโตเนียน,Estonya dili,,,,,,爱沙尼亚语,,愛沙尼亞語,
Basque,16,,Basque,Euskera,Baskisch,Basque,لغة الباسك,,Баски,,Basque,Baskičtina,,,Βασκικα,,,Euskara,,baski,,בסקית,,Baskijski,baszk,,,,Basco,バスク語,바스크어,,,,,,,,,Baskisch,Basque,,baskijski,Basco,Basco,,Bască,Баскский,Baskovščina,,,баскијски,Baskiska,,บาสค์,Bask dili,,,,,,巴斯克语,,巴斯克語,
Persian,17,,Persian,Persa,Persisch,Perse,الفارسية,,Персийски,,Perský,Perzština,,,Περσικος,,,,فارسی,persia,,פרסית,,Perzijski,perzsa,,,,Persiano,ペルシア語,페르시아어,,,,,,,,,Perzisch,Persisk,,perski,Persa,Persa,,Persană,Персидский,Perzijski,,,персијски,Persiska,,เปอร์เซียน,Farsça,,,,,,波斯语,,波斯語,
Finnish,18,,Finnish,Finlandés,Finnisch,Finnois,الفنلندية,,Фински,,Finský,Fínština,,,Φινλανδικη,,,,,Suomi,,פינית,,Finski,finn,,,,Finlandese,フィンランド語,핀란드어,,,,,,,,,Fins,Finsk,,fiński,Finlandês,Finlandês,,Finlandeză,Финский,Finski,,,фински,Finska,,ฟินนิช,Fince,,,,,,芬兰语,,芬蘭語,
Irish,19,,Irish,Irlandés,Irisch,Irlandais,الأيرلندية,,Ирландски,,Irský,Írština,,,Ιρλανδικα,,,,,iiri,Gaeilge,אירית,,Irci,ír,,,,Irlandese,アイルランド語,아일랜드어,,,,,,,,,Iers,Irish,,irlandzki,Irlandês,Irlandês,,Irlandeză,Ирландский,Irski,,,ирски,Irländska,,ไอริช,İrlanda dili,,,,,,爱尔兰语,,愛爾蘭語,
Hebrew,20,,Hebrew,Hebreo,Hebräisch,Hébreu,العبرية,,Иврит,,Hebrejština,Hebrejčina,,,Εβραικα,,,,,heprea,,עברית,,Hebrejski,héber,,,,Ebraico,ヘブライ語,히브리어,,,,,,,,,Hebreeuws,Hebraisk,,hebrajski,Hebraico,Hebraico,,Ebraică,Иврит,Hebrejščina,,,Хебрејски,Hebreiska,,ฮิบรู,İbranice,,,,,,希伯来语,,希伯來語,
Hindi,21,,Hindi,Hindi,Hindi,Hindi,الهندية,,Хинди,,Hindština,Hindčina,,,Ινδικα,,,,,hindi,,הודית,हिन्दी,Hindski,hindi,,,,Hindi,ヒンディー語,힌두어,,,,,,,,,Hindi,Hindi,,hindi,Hindi,Hindi,,Hindi,Хинди,Hindi,,,хинди,Hindi,,ฮินดิ,Hintçe,,,,,,印地语,,印地語,
Croatian,22,,Croatian,Croata,Kroatisch,Croate,الكرواتية,,Хърватски,,Chorvatský,Chorvátština,,,Κροατικα,,,,,kroatia,,קרוטאית,,Hrvatski,horvát,,,,Croato,クロアチア語,크로아시아어,,,,,,,,,Kroatisch,Kroatisk,,chorwacki,Croata,Croata,,Croată,Хорватский,Hrvaški,,,хрватски,Kroatiska,,โครเอเชีย,Hırvatça,,,,,,克罗地亚语,,克羅地亞語,
Hungarian,23,,Hungarian,Húngaro,Ungarisch,Hongrois,الهنغارية,,Унгарски,,Maďarština,Maďarčina,,,Ουγγρικα,,,,,unkari,,הונגרית,,Mađarski,Magyar,,,,Ungherese,ハンガリー語,헝가리어,,,,,,,,,Hongaars,Ungarsk,,węgierski,Húngaro,Húngaro,,Ungară,Венгерский,Madžarski,,,мађарски,Ungerska,,ฮังการี,Macarca,,,,,,匈牙利语,,匈牙利語,
Armenian,24,,Armenian,Armenio,Armenisch,Arménien,الأرمينية,,Арменски,,Arménský,Arménčina,,,Αρμενικα,,,,,armenia,,ארמנית,,Armenac,örmény,հայերեն,,,Armeno,アルメニア語,아르메니아어,,,,,,,,,Armeens,Armensk,,ormiański,Arménio,Arménio,,Armeană,Армянский,Armenski,,,јерменски,Armeniska,,อาร์เมเนีย,Ermenice,,,,,,亚美尼亚语,,亞美尼亞語,
Indonesian,25,,Indonesian,Indonesio,Indonesisch,Indonésien,الأندونيسية,,Индонезийски,,Indonéský,Indonézčina,,,Ινδονησιακα,,,,,indonesia,,אינדונזית,,Indonezijski,indonéz,,Indonesia,,Indonesiano,インドネシア語,인도네시아어,,,,,,,,,Indonesisch,Indonesian,,indonezyjski,Indonésio,Indonésio,,Indoneziană,Индонезийский,Indonezijski,,,индонезијски,Indonesiska,,อินโดนีเซีย,Endonezya dili,,,,,,印度尼西亚语,,印尼語,
Icelandic,26,,Icelandic,Islandés,Isländisch,Islandais,الأيسلاندية,,Исландски,,Islandský,Islančina,,,Ισλανδικα,,,,,islanti,,איסלנדית,,Islandski,izlandi,,,Íslenska,Islandese,アイスランド語,아이슬랜드어,,,,,,,,,Ijslands,Islandsk,,islandzki,Islandês,Islandês,,Islandeză,Исландский,Islandski,,,исландски,Isländska,,ไอซ์แลนด์,İzlandaca,,,,,,冰岛语,,冰島語,
Italian,27,1,Italian,Italiano,Italienisch,Italien,الإيطالية,,Италиански,,Ital,Taliančina,,,Ιταλικα,,,,,italia,,איטלקית,,Talijanski,olasz,,,,Italiano,イタリア語,이태리어,,,,,,,,,Italiaans,Italiensk,,włoski,Italiano,Italiano,,Italiană,Итальянский,Italijanski,,,италијански,Italienska,,อิตาลี,İtalyanca,,,,,,意大利语,,義大利語,
Japanese,28,1,Japanese,Japonés,Japanisch,Japonais,اليابانية,,Японски,,Japonský,Japonština,,,Ιαπωνικα,,,,,japani,,יפנית,,Japanski,japán,,,,Giapponese,日本語,일어,,,,,,,,,Japans,Japansk,,japoński,Japonês,Japonês,,Japoneză,Японский,Japonski,,,јапански,Japanska,,ญี่ปุ่น,Japonca,,,,,,日语,,日語,
Korean,29,,Korean,Coreano,Koreanisch,Coréen,الكورية,,Корейски,,Korejský,Kórejčina,,,Κορεατικα,,,,,korea,,קוראנית,,Korejski,koreai,,,,Coreano,韓国語,한국어,,,,,,,,,Koreaans,Koreanske,,koreański,Coreano,Coreano,,Coreană,Корейский,Korejski,,,корејски,Koreanska,,เกาหลี,Kore dili,,,,,,韩语,,韓語,
Kurdish,30,,Kurdish,Kurdo,Kurdisch,Kurde,الكردية,,Кюрдски,,Kurdský,Kurdština,,,Κουρδικα,,,,,kurdi,,כורדית,,Kurdski,kurd,,,,Curdo,クルド語,쿠르드어,,,,,,,,,Koerdish,Kurdisk,,kurdyjski,Curdo,Curdo,,Kurdă,Курдский,Kurdščina,,,курдски,Kurdiska,,เคอร์ดิช,Kürtçe,,,,,,库尔德语,,庫爾德語,
Latin,31,,Latin,Latín,Latein,Latin,اللاتينية,,Латински,,Latina,Latinčina,,,Λατινικη,,,,,latina,,לטינית,,Latin,latin,,,,Latino,ラテン語,라틴어,,,,,,,,,Latijn,Latin,,łaciński,Latim,Latim,,Latină,Латинский,Latinščina,,,латински,Latin,,ละติน,Latince,,,,,,拉丁语,,拉丁語,
Latvian,32,,Latvian,Letón,Lettisch,Letton,اللاتفية,,Латвийски,,Lotyština,Lotyština,,,Λετονικα,,,,,latvia,,לטבית,,Letonski,lett,,,,Lettone,ラトビア語,라트비아어,,,Latviešu,,,,,,Lets,Latvisk,,łotewski,Letão,Letão,,Letoniană,латышский,Latvijščina,,,летонски,Lettiska,,ลัตเวีย,Letonca,,,,,,拉脱维亚语,,拉脫維亞語,
Lithuanian,33,,Lithuanian,Lituano,Litauisch,Lituanien,اللتوانية,,Литовски,,litevský,Litovčina,,,Λιθουανικα,,,,,liettua,,ליטאית,,Litvanski,litván,,,,Lituano,リトアニア語,리투아니아어,,,,Lietuvos,,,,,Litouws,Litauisk,,litewski,Lituano,Lituano,,Lituaniană,Литовский,Litovščina,,,литвански,Litauiska,,ลิธัวเนีย,Litvanyaca,,,,,,立陶宛语,,立陶宛語,
Macedonian,34,,Macedonian,Macedonio,Mazedonisch,Macédonien,المقدونية,,Македонски,,Makedonský,Macedónština,,,Μακεδονικο,,,,,makedonia,,מקדונית,,Makedonski,macedón,,,,Macedone,マケドニア語,마케도니아어,,,,,македонски,,,,Macedonisch,Makedonsk,,macedoński,Macedônio,Macedônio,,Macedoniană,Македонский,Makedonski,,,македонски,Makedonska,,มาซิโดเนีย,Makedonyaca,,,,,,马其顿语,,馬其頓語,
Maltese,35,,Maltese,Maltés,Maltesisch,Maltais,المالطية,,Малтийски,,Maltština,Maltézština,,,Μαλτεζικα,,,,,malta,,מלטזית,,Malteški,máltai,,,,Maltese,マルタ語,몰타어,,,,,,Malti,,,Maltees,Maltese,,maltański,Maltês,Maltês,,Malteză,Мальтийский,Malteški,,,малтешки,Maltesiska,,มอลทีส,Malta dili,,,,,,马耳他语,,馬爾他語,
Mongolian,37,,Mongolian,Mongol,Mongolisch,Mongol,المنغولية,,Монголски,,Mongolský,Mongolština,,,Μογγολικα,,,,,mongoli,,מונגולית,,Mongolski,mongol,,,,Mongolo,モンゴル語,몽골어,,,,,,,,,Mongools,Mongolsk,,mongolski,Mongolian,Mongolian,,Mongoleză,Монгольский,Mongolski,,,монголски,Mongoliska,,มองโกเลีย,Mongolca,,,,,,蒙古语,,蒙古語,
Nepali,38,,Nepali,Nepalí,Nepali,Népalais,النيبالية,,Непалски,,Nepálský,Nepálčina,,,Νεπαλι,,,,,nepali,,נפאלית,,Nepalski,nepáli,,,,Nepalese,ネパール語,네팔어,,,,,,,,,Nepalees,Nepali,,nepalski,Nepali,Nepali,,Nepaleză,Непальский,Nepalščina,,,непалски,Nepalesiska,,เนปาล,Nepal dili,,,,,,尼泊尔语,,尼泊爾語,
Dutch,39,1,Dutch,Holandés,Niederländisch,Néerlandais,الهولندية,,Холандски,,Holandský,Holandčina,,,Ολλανδικα,,,,,hollanti,,הולנדית,,Holandski,holland,,,,Olandese,オランダ語,화란어,,,,,,,,,Nederlands,Nederlandsk,,holenderski,Holandês,Holandês,,Olaneză,Голландский,Nizozemščina,,,холандски,Nederländska,,ดัตช์,Hollandaca,,,,,,荷兰语,,荷蘭語,
Norwegian Bokmål,40,,Norwegian Bokmål,Bokmål,Norwegisch (Buchsprache),Norvégien Bokmål,البوكمالية النرويجية,,Норвежки книжовен,,Norwegian bokmål,Nórsky jazyk Bokmål,,,Νορβηγικα,,,,,kirjanorja,,נורווגית,,Književni norveški,norvég bokmål,,,,Norvegese Bokmål,ノルウェー・ブークモール,노르웨이 보크말어,,,,,,,,,Noors Bokmål,Norsk bokmål,,norweski bokmål,Norueguês,Norueguês,,Bokmål (norvegiană),Норвежский букмол,Knjižna norveščina,,,Норвешки бокмал,Norskt Bokmål,,นอร์วิเจียนบอกมาล,Bokmal Norveç dili,,,,,,挪威布克莫尔语,,挪威布克莫爾語,
Punjabi,41,,Punjabi,Panyabí,Pandschabi,Panjabi,البنجابية,,Панджабски,,Punjabi,Pandžábčina,,,Panjabi,,,,,pandzabi,,פנג'אבית,,Pendžabljanin,pandzsábi,,,,Panjabi,パンジャーブ語,펀자브어,,,,,,,,,Punjabi,Punjabi,,pendżabi,Panjabi,Panjabi,,Punjabi,Панджаби,Pandžabščina,,,панџаби,Punjabi,,ปัญจาบ,Pencapça,,,,,,旁遮普语,,旁遮普語,
Polish,42,,Polish,Polaco,Polnisch,Polonais,البولندية,,Полски,,Polský,Polština,,,Πολωνικα,,,,,puola,,פולנית,,Poljski,lengyel,,,,Polacco,ポーランド語,폴란드어,,,,,,,,,Pools,Polsk,,polski,Polonês,Polonês,,Poloneză,Польский,Poljski,,,пољски,Polska,,โปแลนด์,Polonyaca,,,,,,波兰语,,波蘭語,
Portuguese (Portugal),43,,Portuguese (Portugal),"Portugués, Portugal","Portugiesisch, Portugal",Portugais - du Portugal,البرتغالية ، البرتغال,,Португалски (Португалия),,Portugalština ( Portugalsko),Portugalština,,,Πορτογαλικα,,,,,portugali,,פורטוגזית,,Portugalski (Portugal),portugál,,,,"Portoghese, Portogallo",ポルトガル語,포르투갈 포르투갈어,,,,,,,,,"Portugees, Portugal",Portugisisk (Portugal),,"portugalski, Portugalia",Português,Português,,Portugheză (Portugalia),"Португальский, Португалия",Portugalščina ( Portugalska ),,,Португалски (Португалија),"Portugisiska, Portugal",,โปรตุเกส,"Portekizce, Portekiz",,,,,,葡萄牙语（葡萄牙）,,葡萄牙語（葡萄牙）,
Portuguese (Brazil),44,,Portuguese (Brazil),"Portugués, Brasil","Portugiesisch, Brasilien",Portugais - du Brésil,البرتغالية ،البرازيل,,Португалски (Бразилия),,Portugalština ( Brazílie),Brazílska Portugalština,,,Πορτογαλικα,,,,,Brasilian portugali,,פורטוגזית - ברזיל,,Portugalski (Brazil),brazil,,,,"Portoghese, Brasile",ポルトガル語（ブラジル）,브라질 포르투갈어,,,,,,,,,"Portugees, Brazilië",Portugisisk (Brasil),,"portugalski, Brazylia",Português,Português,,Portugheză (Brazilia),"Португальский, Бразилия",Portugalščina ( Brazilija ),,,Португалски (Бразил),"Portugisiska, Brasilien",,โปรตุเกสบราซิล,"Portekizce, Brezilya",,,,,,葡萄牙语（巴西）,,葡萄牙語（巴西）,
Quechua,45,,Quechua,Quechua,Quechua,Quechua,الكويتشوا,,Кечуа,,Quechua,Jazyk Quechua,,,Κετσουα,,,,,ketsua,,קצ'ואה,,Quechua,quechua,,,,Quechua,ケチュア語,케추아어,,,,,,,,,Quechua,Quechua,,keczua,Quechua,Quechua,,Quechuană,Кечуа,Quechua,,,Кечуа,Quechua,,คิวชัว,Quechua dili,,,,,,盖丘亚语,,蓋丘亞語,
Romanian,46,,Romanian,Rumano,Rumänisch,Roumain,الرومانية,,Румънски,,Rumunština,Rumunčina,,,Ρουμανικα,,,,,romania,,רומנית,,Rumunjski,román,,,,Rumeno,ルーマニア語,로마니아어,,,,,,,,,Roemeens,Rumensk,,rumuński,Romeno,Romeno,,Română,Румынский,Romunščina,,,румунски,Rumänska,,โรมาเนีย,Rumence,,,,,,罗马尼亚语,,羅馬尼亞語,
Russian,47,1,Russian,Ruso,Russisch,Russe,الروسية,,Руски,,Ruský,Ruština,,,Ρωσικα,,,,,venäjä,,רוסית,,Ruski,orosz,,,,Russo,ロシア語,러시아어,,,,,,,,,Russisch,Russisk,,rosyjski,Russo,Russo,,Rusă,Русский,Ruščina,,,руски,Ryska,,รัสเซีย,Rusça,,,,,,俄语,,俄語,
Slovenian,48,,Slovenian,Esloveno,Slowenisch,Slovène,السلوفانية,,Словенски,,Slovinština,Slovinčina,,,Σλοβενικα,,,,,sloveeni,,סלובנית,,Slovenac,szlovén,,,,Sloveno,スロベニア語,슬로베니아어,,,,,,,,,Sloveens,Slovensk,,słoweński,Esloveno,Esloveno,,Slovenă,Словенский,Slovenščina,,,словеначки,Slovenska,,สโลวีเนียน,Sloven dili,,,,,,斯洛文尼亚语,,斯洛文尼亞語,
Somali,49,,Somali,Somalí,Somali,Somali,الصومالية,,Сомалийски,,Somali,Somálčina,,,Somali,,,,,somali,,סומלית,,Somalijski,szomáli,,,,Somalo,ソマリ語,소말리아어,,,,,,,,,Somalisch,Somali,,somalijski,Somali,Somali,,Somaleză,Сомалийский,Somalski,,,Сомалијски,Somaliska,,โซมาลี,Somalice,,,,,,索马里语,,索馬里語,
Albanian,50,,Albanian,Albanés,Albanisch,Albanais,الألبانية,,Албански,,Albánský,Albánčina,,,Αλβανικα,,,,,albania,,אלבנית,,Albanac,albán,,,,Albanese,アルバニア語,알바니아어,,,,,,,,,Albaans,Albansk,,albański,Albanês,Albanês,,Albaneză,Албанский,Albanski,,,албански,Albanska,,อัลเบเนีย,Arnavutça,,,,,,阿尔巴尼亚语,,阿爾巴尼亞語,
Serbian,51,,Serbian,Serbio,Serbisch,Serbe,الصربية,,Сръбски,,Srbský,Srbština,,,Σερβικα,,,,,serbia,,סרבית,,Srpski,szerb,,,,Serbo,セルビア語,세르비아어,,,,,,,,,Servisch,Serbisk,,serbski,Sérvio,Sérvio,,Sârbă,Сербский,Srbski,,,српски,Serbiska,,เซอร์เบีย,Sırpça,,,,,,赛尔维亚语,,賽爾維亞語,
Swedish,52,,Swedish,Sueco,Schwedisch,Suédois,السويدية,,Шведски,,Švédský,Švédština,,,Σουηδικη,,,,,ruotsi,,שוודית,,švedski,svéd,,,,Svedese,スウェーデン語,스웨덴어,,,,,,,,,Zweeds,Swedish,,szwedzki,Sueco,Sueco,,Suedeză,Шведский,Švedščina,,,шведски,Svenska,,สวีเดน,İsveççe,,,,,,瑞典语,,瑞典語,
Tamil,53,,Tamil,Tamil,Tamil,Tamoul,التاميلية,,Тамилски,,Tamil,Tamilčina,,,Ταμιλ,,,,,tamili,,טמילית,,Tamil,tamil,,,,Tamil,タミル語,타밀어,,,,,,,,,Tamil,Tamil,,tamilski,Tamil,Tamil,,Tamilă,Тамильский,Tamilščina,,,тамилски,Tamil,,ทมิฬ,Tamil dili,,,,,,泰米尔语,,泰米爾語,
Thai,54,,Thai,Tailandés,Thai,Thaï,التايلندية,,Тайски,,Thai,Thajština,,,Thai,,,,,thai,,תאילנדית,,Thai,tájföldi,,,,Thai,タイ語,태국어,,,,,,,,,Thai,Thai,,tajski,Tailandês,Tailandês,,Tailandeză,Тайский,Tajski,,,Тајландски,Thailändska,,ไทย,Tayca,,,,,,泰语,,泰語,
Turkish,55,,Turkish,Turco,Türkisch,Turc,التركية,,Турски,,Turečtina,Turečtina,,,Τουρκικα,,,,,turkki,,תורכית,,Turski,török,,,,Turco,トルコ語,터어키어,,,,,,,,,Turks,Turkish,,turecki,Turco,Turco,,Turcă,Турецкий,Turščina,,,турски,Turkiska,,ตุรกี,Türkçe,,,,,,土耳其语,,土耳其語,
Ukrainian,56,,Ukrainian,Ucraniano,Ukrainisch,Ukrainien,الأوكرانية,,Украински,,Ukrajinský,Ukrajinčina,,,Ουκρανικα,,,,,ukraina,,אוקראינית,,Ukrajinski,ukrán,,,,Ucraino,ウクライナ語,우크라이나어,,,,,,,,,Oekraïens,Ukrainsk,,ukraiński,Ucraniano,Ucraniano,,Ucrainiană,Украинский,Ukrajinski,,,украјински,Ukrainska,,ยูเครน,Ukraynaca,,,,,,乌克兰语,,烏克蘭語,
Urdu,57,,Urdu,Urdu,Urdu,Ourdu,الأردية,,Урду,,Urdu,Urdština,,,Ουρντου,,,,,urdu,,אורדו,,Urdu,urdu,,,,Urdu,ウルドゥー語,우르두어,,,,,,,,,Urdu,Urdu,,urdu,Urdu,Urdu,,Urdu,Урду,Urdujščina,,,урду,Urdu,,อุรดู,Urduca,,اردو ,,,,乌尔都语,,烏爾都語,
Uzbek,58,,Uzbek,Uzbeko,Usbekisch,Ouzbek,الاوزباكية,,Узбекски,,Uzbek,Uzbekčina,,,Ουζμπεκικα,,,,,uzbekki,,אוזבקית,,Uzbečki,üzbég,,,,Uzbeco,ウズベク語,우즈베크어,,,,,,,,,Oezbeeks,Usbekisk,,uzbecki,Uzbeque,Uzbeque,,Uzbecă,Узбекский,Uzbek,,,Узбек,Uzbekiska,,อุซเบก,Özbekçe,,,,,,乌兹别克语,,烏茲別克語,
Vietnamese,59,,Vietnamese,Vietnamita,Vietnamesisch,Vietnamien,الفيتنامية,,Виетнамски,,Vietnamský,Vietnamčina,,,Βιετναμεζικα,,,,,vietnam,,וייטנאמית,,Vijetnamski,vietnámi,,,,Vietnamita,ベトナム語,베트남어,,,,,,,,,Vietnamees,Vietnamesisk,,wietnamski,Vietnamita,Vietnamita,,Vietnameză,Вьетнамский,Vietnamščina,,,вијетнамски,Vietnamesiska,,เวียดนาม,Vietnamca,,,,Tiếng Việt,,越南语,,越南語,
Yiddish,60,,Yiddish,Yidis,Jiddisch,Yiddish,اليديشية,,Идиш,,Jidiš,Jidiš,,,Γιντις,,,,,jiddi,,יידיש,,Jidiš,jiddis,,,,Yiddish,イディッシュ語,이디시어,,,,,,,,,Jiddisch,Yiddish,,jidysz,Yiddish,Yiddish,,Idiş,Идиш,Jidiš,,,јидиш,Jiddisch,,ยิชดิช,Eski İbranice,,,,,,依地语,,依地語,
